geo,excess_mortality,pop,ratio
CZ03,30.399999999999977,1226805,2.477981423290578
CZ04,8.19999999999996,1115685,0.7349744775631079
CZ05,-145.4000000000001,1513693,-9.605646587518082
CZ06,-74.0,1696941,-4.360788029754717
CZ07,46.99999999999994,1215413,3.8669982960524485
CZ08,150.00000000000003,1203299,12.465729631621072
DE,1450.0,83019213,1.7465836492571905
DE1,953.75,11069533,8.615991297916542
DE2,2117.0,13076721,16.189073698215324
DE3,141.25,3644826,3.875356464204327
DE4,692.5,2511917,27.568586063950363
DE5,86.75,682986,12.701578070414328
DE6,143.5,1841179,7.793919005159194
DE7,43.25,6265809,0.6902540438114216
DE8,-70.0,1609675,-4.348703930917732
DE9,5.25,7982448,0.06576929783945977
DEA,-455.25,17932651,-2.538665365204509
DEB,-431.5,4084844,-10.56343889754419
DEC,-157.0,990509,-15.850436492752715
DED,-366.5,4077937,-8.987387495196714
DEE,-423.0,2208321,-19.154823959016827
DEF,-304.5,2896712,-10.511918340518491
DEG,-525.5,2143145,-24.52003947469723
DK,-266.2000000000003,5806081,-4.584848196227374
DK0,-266.2000000000003,5806081,-4.584848196227374
DK01,-73.00000000000011,1835562,-3.9769836159170935
DK02,143.39999999999998,836738,17.13798106456262
DK03,-174.0,1223348,-14.223262718376128
DK04,-56.80000000000001,1320678,-4.3008212448454515
DK05,-105.79999999999995,589755,-17.939652906715494
EE,-65.00000000000011,1324820,-4.906326897238879
EE0,-65.00000000000011,1324820,-4.906326897238879
EE00,-65.00000000000011,1324820,-4.906326897238879
EL,1691.0,10724599,15.76748930193101
EL3,404.19999999999993,3742235,10.801032003602124
EL30,404.19999999999993,3742235,10.801032003602124
EL4,74.20000000000002,1200055,6.183049943544256
EL41,14.79999999999999,221098,6.693864259287732
EL42,28.0,344027,8.138896075017367
EL43,31.39999999999999,634930,4.9454270549509385
EL5,818.8000000000001,3074204,26.634536940294144
EL51,284.19999999999993,599723,47.38854437798783
EL52,464.40000000000003,1873777,24.784165885268102
EL53,79.39999999999998,267008,29.736936720997114
EL54,-9.19999999999996,333696,-2.75700038358265
EL6,372.4,2708105,13.751313187634896
EL61,185.59999999999997,718640,25.826561282422347
EL62,-20.999999999999986,203869,-10.300732333017764
EL63,197.1999999999999,655189,30.098185409095684
EL64,-6.999999999999986,555960,-1.2590833872940472
EL65,17.600000000000023,574447,3.0638161571041405
ES,41381.6,46937060,88.16402220335061
ES1,138.0,4304287,3.2061059125471885
ES11,-330.0000000000001,2700441,-12.22022625193441
ES12,341.19999999999993,1022205,33.37882323017398
ES13,126.80000000000003,581641,21.80038889968211
ES2,2944.2,4461983,65.98411513445927
ES21,1289.4,2177880,59.20436387679762
ES22,572.9999999999998,649946,88.16117031261055
ES23,369.00000000000006,313571,117.67669841917781
ES24,713.7999999999997,1320586,54.05176186935192
ES3,16415.600000000002,6641649,247.16151064291415
ES30,16415.600000000002,6641649,247.16151064291415
ES4,9560.400000000001,5508034,173.57191331789167
ES41,4229.200000000001,2407733,175.65070545612826
ES42,4659.999999999999,2034877,229.00647066137165
ES43,671.2000000000003,1065424,62.998393127994134
ES5,11491.2,13729620,83.69641694380472
ES51,10411.6,7566431,137.60252356758426
ES52,1224.7999999999997,4974969,24.619248883761884
ES53,-145.2,1188220,-12.219959266802444
ES6,668.0000000000002,10084586,6.623970483270213
ES61,504.1999999999998,8427405,5.982861865544611
ES62,82.40000000000003,1487663,5.538888847810292
ES63,59.4,84829,70.0232231901826
ES64,21.0,84689,24.796608768553178
ES7,163.19999999999987,2206901,7.394985094483163
ES70,163.19999999999987,2206901,7.394985094483163
FI,185.80000000000018,5517919,3.3672114432995515
FI1,198.0000000000001,5488130,3.6077862587074305
FI19,-74.6,1379749,-5.406780508628743
FI1B,541.1999999999999,1671024,32.38732657340648
