geo,pop,1-27,1-27_ratio,28-52,28-52_ratio
DE8,1609675,-70.0,-4.348703930917732,623.5,38.73452715610294
DE9,7982448,5.25,0.06576929783945977,2303.0,28.85079865224302
DEA,17932651,-455.25,-2.538665365204509,7028.5,39.19387044336055
DEB,4084844,-431.5,-10.56343889754419,1881.25,46.054390326778694
DEC,990509,-157.0,-15.850436492752715,442.75,44.699240491504874
DED,4077937,-366.5,-8.987387495196714,6634.75,162.69868808664773
DEE,2208321,-423.0,-19.154823959016827,1301.5,58.936178209599056
DEF,2896712,-304.5,-10.511918340518491,476.0,16.432424072534655
DEG,2143145,-525.5,-24.52003947469723,1226.25,57.21731380751186
DK,5806081,-266.2000000000003,-4.584848196227374,1078.4,18.57362995796993
DK0,5806081,-266.2000000000003,-4.584848196227374,1078.4,18.57362995796993
DK01,1835562,-73.00000000000011,-3.9769836159170935,213.59999999999997,11.636763018628626
DK02,836738,143.39999999999998,17.13798106456262,167.0,19.958457725118254
DK03,1223348,-174.0,-14.223262718376128,401.20000000000005,32.79524714145117
DK04,1320678,-56.80000000000001,-4.3008212448454515,254.0,19.23254570758353
DK05,589755,-105.79999999999995,-17.939652906715494,42.599999999999994,7.223338504972403
EE,1324820,-65.00000000000011,-4.906326897238879,484.2,36.54836128681632
EE0,1324820,-65.00000000000011,-4.906326897238879,484.2,36.54836128681632
EE00,1324820,-65.00000000000011,-4.906326897238879,484.2,36.54836128681632
EL,10724599,1691.0,15.76748930193101,5773.6,53.83511308907681
EL3,3742235,404.19999999999993,10.801032003602124,1053.6,28.154298166737252
EL30,3742235,404.19999999999993,10.801032003602124,1053.6,28.154298166737252
EL4,1200055,74.20000000000002,6.183049943544256,218.4,18.19916587156422
EL41,221098,14.79999999999999,6.693864259287732,-3.8000000000000043,-1.718694877384691
EL42,344027,28.0,8.138896075017367,111.99999999999999,32.55558430006947
EL43,634930,31.39999999999999,4.9454270549509385,110.19999999999999,17.356243995401066
